price_usd,beds,baths,built_sqm,km_to_resort,km_to_base,land_sqm,cars,age,days_listed
330000,3,2,164.53,24.14,32.18,930.81,2,4,127
400000,3,2,112.69,8.05,1.61,687.99,1,5,98
416000,3,2.5,175.03,3.22,11.26,728.46,2,16,105
420000,3,2,178.56,1.61,9.65,1173.63,1,80,103
496000,4,2.5,172.61,0.00,8.05,2104.44,2,9,39
690000,3,2.25,180.97,1.61,9.65,88669.77,2,20,403
230000,2,1,111.48,83.67,77.23,161880,2,21,211
448000,3,2,185.99,3.22,11.26,728.46,1,18,126
160000,1,1,71.35,72.41,80.45,1173.63,0,37,67
250000,1,1,86.40,72.41,80.45,2387.73,0,26,92
252000,3,2,107.77,24.14,32.18,10198.44,0,17,296
372600,2,2,120.77,4.83,3.22,2711.49,2,67,158
378000,3,2.75,168.71,0.00,8.05,404.7,2,18,191
430000,3,2.5,164.81,11.26,3.22,728.46,2,3,150
474000,4,2.5,157.93,4.83,12.87,1011.75,2,19,308
165000,2,1,133.78,49.88,57.92,1821.15,0,76,62
228000,4,1,148.46,49.88,57.92,1295.04,1,14,45
278000,3,2,130.06,3.22,11.26,930.81,1,14,228
290000,4,2,301.93,49.88,57.92,2023.5,2,19,94
290000,2,1.75,96.62,8.05,16.09,24767.64,3,26,126
312000,4,1,125.23,0.00,8.05,445.17,0,23,121
335000,3,2.5,193.52,32.18,24.14,5382.51,2,15,173
320000,3,2,185.80,32.18,24.14,4047,0,4,20
384000,3,2,200.67,0.00,8.05,505.875,0,20,54
420000,3,2.5,208.10,11.26,3.22,1011.75,2,13,87
515000,4,2.5,217.39,11.26,3.22,1375.98,2,4,120
235000,2,2,147.71,56.32,64.36,1983.03,2,15,54
300000,3,2,135.27,4.83,12.87,971.28,1,78,172
321000,4,2.5,148.64,16.09,24.14,10117.5,0,19,16
340000,2,1,89.93,8.05,8.05,7527.42,0,11,23
364000,3,2.75,195.09,0.00,8.05,505.875,2,20,126
518000,6,4,187.29,3.22,4.83,2751.96,0,23,63
388000,3,2,228.91,32.18,24.14,3885.12,2,3,61
530000,4,2,176.51,0.00,8.05,42493.5,2,15,102
190000,2,1,98.29,51.49,59.53,2023.5,0,69,62
300000,2,2,139.35,8.05,16.09,1011.75,2,35,92
330000,4,2,185.80,16.09,8.05,1335.51,1,15,45
530000,5,4,234.58,24.14,16.09,3156.66,2,5,21
470000,4,2.5,167.22,8.05,16.09,971.28,2,12,76
530000,4,4,250.84,32.18,24.14,4856.4,3,15,85
610000,6,4,331.66,40.23,32.18,11331.6,2,30,42
660000,4,4.5,274.06,11.26,3.22,2711.49,4,4,135
540000,5,4,237.83,19.31,11.26,1821.15,2,4,205
524000,3,3.75,255.95,3.22,4.83,930.81,3,23,412
640000,6,4.75,360.00,0.00,8.05,1011.75,0,12,95